old_word,new_word
mercado credito carbono,mercado_carbono
mercado creditos carbono,mercado_carbono
mercado regulado carbono,mercado_carbono regulado
mercado voluntario carbono,mercado_carbono voluntario
mercado voluntario,mercado_carbono voluntario
mercados jurisdicionais carbono,mercado_carbono jurisdicional
mercados carbono,mercado_carbono
mercado global carbono,mercado_carbono global
mercado carbono,mercado_carbono
creditos carbono,creditos_carbono
credito carbono,creditos_carbono
offset carbono,offset_carbono
cap and trade,cap_and_trade
gases efeito estufa,gases_efeito_estufa
efeito estufa,efeito_estufa
pagamento servicos ambientais,pagamento_servicos_ambientais
pagamentos servicos ambientais,pagamentos_servicos_ambientais
servicos ambientais,servicos_ambientais
servicos ecossistêmicos,servicos_ecossistemicos
solucoes baseadas natureza,solucoes_baseadas_natureza
economia baixo carbono,economia_baixo_carbono
baixo carbono,baixo_carbono
pras,programas_regularizacao_ambiental
apps,area_preservacao_permanente
reserva legal,reserva_legal
carbono zero,carbono_zero
carbono neutro,carbono_neutro
acordo paris,acordo_paris
unidades conservacao,unidades_conservacao
mudancas climaticas,mudancas_climaticas
mudanca climatica,mudanca_climatica
mudanca clima,mudanca_clima
aquecimento global,aquecimento_global
crise climatica,crise_climatica
taxas desmatamento,taxas_desmatamento
reducao emissoes,reducao_emissoes
reduzir emissoes,reduzir_emissooes
compensar emissoes,compensar_emissoes
compensacao emissoes,compensacao_emissoes
sequestro carbono,sequestro_carbono
miniterio meio ambiente,ministerio_meio_ambiente
meio ambiente,meio_ambiente
plano transicao ecologica,plano_transicao_ecologica
ministerio publico federal,ministerio_publico_federal
terra indigena kayapo,terra_indigena_kayapo
terras indigenas,terras_indigenas
povos indigenas,povos_indigenas
comunidades tradicionais,comunidades_tradicionais
manter floresta pe,manter_floresta_pe
cadastro ambiental rural,cadastro_ambiental_rural
projeto lei,projeto_lei
transicao energetica,transicao_energetica
governo federal,governo_federal
desenvolvimento sustentavel,desenvolvimento_sustentavel
uniao europeia,uniao_europeia
combustiveis fosseis,combustiveis_fosseis
setor privado,setor_privado
economia verde,economia_verde
energia renovavel,energia_renovavel
mata atlantica,mata_atlantica
hidrogenio verde,hidrogenio_verde
politicas publicas,politicas_publicas
gas carbonico,gas_carbonico
dioxido carbono,dioxido_carbono
estados unidos,estados_unidos
florestas publicas,florestas_publicas
congresso nacional,congresso_nacional
