jornal,codigo_triado,pertencimento,texto_analise,,,,,
eco,eco_001,parcial,Esta foi a primeira vez que o custo de manutenção das áreas protegidas na Amazônia foi estimado. O que se tem de trabalhos anteriores é a mensuração dos valores dos serviços ecossistêmicos e dos créditos de carbono.,,,,,
eco,eco_002,parcial,"Sem o andamento adequado dos PRAs, os proprietários acabam não avançando na recuperação de passivos de APPs e Reserva Legal de suas propriedades e também ficam fora de projetos que poderiam contribuir para a sustentabilidade dos seus imóveis, como a negociação de créditos de carbono, por exemplo.

Mas há outras contradições nas regiões brasileiras que também são destacadas por Mesquita. Um exemplo mencionado envolve grande parte dos imóveis da Amazônia que têm excedentes de Reserva Legal, já que se localizam em áreas remotas onde a pressão do desmatamento ainda não alcançou, mas não são elegíveis para projetos de créditos de carbono. ",,,,,
eco,eco_003,parcial,"“O impacto da agropecuária nas emissões de carbono já está um pouco desmistificado, em relação a essa questão de que não é o grande vilão. Se o gado for alimentado com a ração certa, ele vai emitir menos. Nós vamos investir e estimular que o agronegócio seja carbono zero. […] Vamos trazer o agro para ser parceiro no comércio de créditos de carbono”, declarou.",,,,,
eco,eco_004,parcial,"Com 48 páginas, o documento inclui conceitos que vão de “desenvolvimento sustentável” ao “mercado de carbono”, até o “hidrogênio verde”, mas no tocantes a propostas, se restringe a apresentar um balanço das ações desenvolvidas nos últimos três anos de combate às queimadas e ao desmatamento.",,,,,
eco,eco_005,parcial,"Em seu programa de propostas, o ex-governador adota um discurso mais conciliador entre desenvolvimento econômico e preservação da Floresta Amazônica, que ainda ocupa ao menos 86% do território acreano. Usa com recorrência o termo desenvolvimento sustentável para se adotar políticas de crescimento da economia local com respeito ao meio ambiente.  Tenta, assim, não se desfazer por completo dos tempos do “governo da floresta”. 

Ele critica a atual situação de alta do desmatamento no estado, afirmando que é possível impulsionar a produção agropecuária a partir das áreas já desmatadas, sem a necessidade de novas aberturas. 

Além da recuperação de áreas degradadas ou subutilizadas para aumentar a produção rural, o plano também fala em reflorestar outros pontos desmatados para o Acre ganhar dinheiro por meio de programas de pagamento por serviços ambientais, com destaque para o mercado de crédito de carbono.  ",,,,,
eco,eco_006,parcial,"“Não vai ter boiada, vai ter racionalidade, tem que racionalizar para que a gente possa gerar emprego, para que a gente possa cuidar das pessoas, para que a gente seja uma potência verde. Uma potência onde a gente consiga mostrar que o estado é sustentável, onde a gente gera riqueza através da sustentabilidade, onde a gente vai ser líder no mercado de crédito de carbono, a gente vai ser líder na produção de amônia verde, a gente vai ser líder na produção de hidrogênio verde. Isso está ao nosso alcance e, na verdade, esse tipo de medida, esse tipo de ação, vai ser incentivada”, afirmou Tarcísio na entrevista, sem explicar como pretende atingir tais objetivos.",,,,,
eco,eco_007,parcial,"Clécio Luís também propõe fazer a inserção do Amapá no mercado de carbono e de pagamento por serviços ambientais. Outro ponto é “ampliar as ações de concessão e de manejo florestal”, e o uso sustentável dos recursos naturais disponíveis dentro das unidades de conservação do estado. Ele ainda defende fortalecer o plano estadual de combate ao desmatamento e às queimadas.",,,,,
eco,eco_008,titulo_total,"Os candidatos e as candidatas aos governos que compõem os nove estados da Amazônia Legal apresentam como uma das principais propostas em seus planos de governo, como medidas para a preservação do bioma amazônico, a adoção de políticas para a captação de recursos por meio dos programas de pagamento por compensação ambiental, o conhecido REDD. Entre as estratégias, está a venda de crédito de carbono estocado nas áreas de florestas primárias dentro de seus territórios para o chamado mercado de carbono. 

Com a intensificação dos efeitos das mudanças climáticas em todo o Planeta, cresce a corrida entre os países mais ricos e industrializados para amenizar os danos de suas emissões de gases do efeito estufa. Uma das formas mais práticas para isso é a compra de crédito de carbono. No mundo, as florestas tropicais, o que inclui a Amazônia, desempenham, entre os seus múltiplos serviços ambientais, a estocagem de carbono. Pagar para que os países detentores de florestas as mantenham em pé é a “compensação” adotada pelos maiores poluidores.   


De olho neste mercado potencial, os candidatos a governador na Amazônia Legal fazem promessas de acelerar o processo de regulamentação para ganhar alguns milhões de dólares da forma mais fácil possível: proteger a floresta do desmatamento. 

Além de um arcabouço legal que permita suas entradas no mercado internacional de crédito de carbono, os governos regionais devem fazer o simples, mas nem sempre bem visto, eleitoralmente, por uma parcela da população local: uma política de tolerância zero ao desmatamento e às queimadas.   

Com a maioria dos atuais governadores da região aliados à agenda anti-ambiental do presidente Jair Bolsonaro (PL), flexibilizando as regras ambientais para alavancar o agronegócio, os estados vêm ampliando suas taxas de derrubadas e fogo desde 2019. Assim, mais carbono e outros gases poluentes são emitidos para a atmosfera. Na linguagem prática do mercado financeiro, menos floresta resulta em menos dinheiro. 

Na região, Acre e Mato Grosso foram pioneiros na regulamentação de políticas públicas de REDD, que são os pagamentos monetários a governos, empresas e proprietários rurais que preservam suas áreas de floresta. No caso dos estados, um dos primeiros passos para executar estes programas de REDD/PSA (Pagamento por Serviços Ambientais), é a adoção do Zoneamento Ecológico Econômico (ZEE), que define quais áreas do território devem estar protegidas e quais podem ser exploradas pelas diferentes atividades econômicas.  

Ex-secretário de Meio Ambiente do Acre no governo Binho Marques (PT), entre 2007 e 2010, Eufram Amaral acompanhou de perto os primeiros passos tanto para a implementação do ZEE quanto do Sisa, o Sistema de Incentivo a Serviços Ambientais, que regulamenta os programas de captação e aplicação de recursos obtidos pela manutenção da Floresta Amazônica protegida; no estado, o bioma ainda ocupa 85% do território. 

Em 2012, o Acre, junto com o governo da Alemanha, iniciou o programa REM/KFW. Pelo contrato, o estado receberia 25 milhões de euros na primeira fase do projeto, encerrada em 2017. Para tanto, o Acre não poderia ultrapassar o teto anual de 330 km2 de floresta derrubada. 

A parceria foi renovada ao fim da primeira fase por mais cinco anos, agora com a participação também do governo do Reino Unido, elevando a compensação para 30 milhões de euros. A partir de 2019, com a posse de Gladson Cameli (PP) como governador, o estado passa a registrar aumentos consideráveis nas taxas de desmatamento, ultrapassando a estabelecida em contrato no programa REM/KFW. Cameli disputa a reeleição como favorito para vencer em outubro.  

Segundo Eufram Amaral, o Acre conseguiu captar R$ 200 milhões por meio do Sisa em sua primeira fase. Com a troca de governo, o estado não só aumentou a devastação da Amazônia como destruiu a estrutura administrativa responsável pela gestão dos programas. Uma das primeiras medidas adotadas por Gladson Cameli, em 2019, foi extinguir o Instituto de Mudanças Climáticas (IMC), que gerencia o REM/KFW. Ao perceber o estrago econômico de sua decisão, ele voltou atrás. 

“O Acre mostrou que é possível sim você ter um sistema subnacional. Embora hoje, o Acordo de Paris, ele trabalha essa questão entre os governos nacionais, mas o nosso sistema nacional prevê a participação dos governos subnacionais. Aqui na Amazônia nós temos um potencial tamanho. Mas há um problema: os gestores não acreditam nessa política”, afirma Eufram Amaral. 

Todavia, ressalta ele, o simples fato de tais medidas estarem incluídas nos programas de governo, já seria o sinal de certa mudança de visão entre a classe política local. Para Amaral, a grande dificuldade da atualidade entre os estados da Amazônia Legal é a falta de legislação para os programas de serviços ambientais. “É preciso primeiro ter esse arcabouço jurídico para garantir que os créditos gerados no estado são de domínio e posse do estado.” 

Além das leis, os governos também precisam fazer elevados investimentos financeiros e humanos para os programas de REDD. Investimentos em equipe técnica qualificada e em tecnologias para monitoramento estão entre as ações diretas. Com os atuais governadores mais alinhados com a política bolsonarista, é pouco provável haver interesse para se aplicar tais recursos. A maioria é candidata à reeleição, e aponta como favorita para obter mais quatro anos de mandato. 

“Os estados da Amazônia estão dentro do bioma Amazônia, sempre vai ter floresta. O gestor público prescindir da floresta é uma decisão completamente equivocada. No Acre nós ainda temos 85% de floresta primária. Imagina toda essa área gerando dinheiro para todos que estão aqui, o seringueiro, o índio, o produtor rural”, ressalta o ex-secretário de Meio Ambiente.  

Como destaca Amaral, o carbono é apenas um produto da cesta de serviços ambientais que a floresta proporciona. “Daqui mais um tempo nós vamos falar de água. Renumerar a floresta por produção de água. Depois, a própria regulamentação climática. O carbono é a ponta de um iceberg que abre para os serviços ambientais. Nós vamos passar a ouvir falar mais em serviços ambientais e menos mercado de carbono. A floresta não pode ser reduzida a carbono”, define. 

De acordo com Shigueo Watanabe Jr, pesquisador do Instituto Climainfo, somente nos últimos dois, três anos os governos da Amazônia passaram a se atentar mais para as potencialidades dos projetos REDD/PSA. Um dos motivos para isso foi o desmonte do Fundo Amazônia pelo governo Bolsonaro, o que levou os estados a perderem recursos não só para ações de comando e controle, mas em projetos para uma agricultura mais sustentável na região. 

Para o pesquisador, de nada adianta os governadores desenvolverem projetos para a captação de recursos junto a financiadores internacionais, se o governo brasileiro não atuar como um “avalista” para que de fato as metas de controle de desmatamento. Para ele, o atual governo de Jair Bolsonaro não tem condições para tal, sendo necessária uma mudança de ambiente político no país que reestruture a política de proteção ao meio ambiente, e transmita isso para o mundo. ",,,,,
eco,eco_009,parcial,"Haddad também afirma que irá apoiar e estimular a certificação orgânica e agroecológica em São Paulo, instituindo selos para agregar valor nacional e internacionalmente.

Aponta, ainda,que irá implementar um programa específico para a redução do uso de  agrotóxicos, com apoio tecnológico e financeiro aos produtores, além da criação de um sistema público de indicadores de contaminação da água, da terra e dos alimentos. Como parte do programa de Desenvolvimento Rural Sustentável, o plano esclarece que irá estimular a Integração Lavoura Pecuária (ILP) e  a Integração Lavoura Pecuária Floresta (ILPF). E também reconhece a necessidade de um programa voltado aos negócios agrícolas diante das mudanças climáticas.

O  plano cita o fomento ao pagamento por serviços ambientais e estímulo ao mercado de crédito de carbono, apoiado na Lei Federal nº 14.119/21, com modulação para atender aos chamados “povos das águas, do campo, das florestas” e também a médios e grandes proprietários. ",,,,,
eco,eco_010,parcial,"O valor global da Amazônia cresce também com o cenário de inadimplência das nações signatárias do Acordo de Paris. A Conferência COP 27 no Egito, em novembro, deverá debater e regular o mercado de carbono, na intenção de promover uma dinâmica que apoie políticas de valoração do sequestro de Gases Efeito Estufa (GEE), ou seja, do papel das florestas. Resultará em mais mercado do que solução? O mundo pagará para ver.",,,,,
eco,eco_011,parcial,"Também, segundo o estudo, embora vejam planos governamentais citando mudanças para as suas regiões, muitos dos jovens não se sentem apropriados do entendimento de temáticas como mercado de carbono, crise climática, justiça ambiental, entre outros. Para a pesquisa, foram escutados 45  jovens empreendedores sociais e líderes de organizações dos estados da Amazônia Legal em 2021. ",,,,,
