word,counting
carbono,2769
mercado,1696
creditos,1250
emissoes,916
brasil,843
projetos,605
credito,583
empresas,567
pais,402
meio,385
setor,338
empresa,332
desenvolvimento,325
ambiental,325
desmatamento,317
gases,310
milhoes,310
areas,298
amazonia,296
reducao,287
energia,285
paises,284
acordo,275
efeito,273
estufa,268
emissao,257
regulado,257
nacional,247
economia,245
florestas,242
lei,241
floresta,239
mundo,239
global,231
verde,229
valor,228
area,224
ambiente,217
voluntario,212
sistema,210
transicao,210
ambientais,209
maior,207
comunidades,206
geracao,202
climaticas,201
climatica,201
metas,201
producao,197
recursos,194
indigenas,192
potencial,191
clima,186
sustentavel,185
mudancas,184
investimentos,179
acoes,177
banco,176
setores,174
plano,172
brasileiro,171
texto,167
conservacao,165
sustentabilidade,163
grande,163
regulamentacao,163
florestal,161
atividades,158
mercados,156
bilhoes,155
preservacao,154
reduzir,154
solucoes,154
biodiversidade,153
criacao,152
hectares,151
agenda,150
internacional,149
proposta,147
servicos,145
cop,144
industria,143
compensar,143
politicas,141
ativos,138
grandes,137
toneladas,137
gente,136
nova,134
gas,131
terras,131
processo,129
politica,129
natureza,129
congresso,129
presidente,128
publicas,128
compra,127
sustentaveis,127
agora,126
financiamento,126
regulacao,126
compensacao,125
ministerio,125
brasileira,125
estado,124
federal,124
tema,124
povos,123
mudanca,122
impacto,121
senado,121
importante,121
programa,120
descarbonizacao,120
produtos,119
gerar,118
venda,117
regras,116
energetica,116
comercio,115
dentro,113
regiao,112
atmosfera,109
terra,109
investimento,109
criar,109
novo,109
protecao,108
modelo,107
esg,106
tecnologia,106
agronegocio,105
precisa,105
quanto,104
fazenda,104
objetivo,104
paris,103
fundo,103
negocios,103
meta,102
agricultura,101
camara,101
gestao,99
tempo,99
possivel,98
internacionais,98
estudo,98
gerados,97
tradicionais,97
relacao,96
iniciativas,96
comercializacao,96
zero,95
primeiro,95
pl,94
preciso,94
grupo,94
decreto,94
aumento,94
iniciativa,93
prazo,93
produtores,92
baixo,92
medida,89
mundial,89
lula,89
titulos,89
gee,88
legal,87
parceria,87
publico,87
direito,87
demanda,87
combustiveis,87
novas,86
medidas,86
praticas,86
social,86
executivo,86
tonelada,85
diretor,85
principais,84
comprar,84
biomas,83
marco,83
investidores,83
pessoas,82
financeiro,82
mecanismos,82
ponto,81
estados,81
instituto,81
trabalho,81
propostas,80
economico,80
atividade,80
capital,80
oportunidades,80
clientes,80
precisam,79
restauracao,79
sociedade,79
futuro,79
custo,78
estrategia,78
base,78
possibilidade,78
fontes,78
agro,77
participacao,77
inclusive,77
contratos,77
instrumentos,76
direitos,76
qualidade,76
plataforma,76
negociacao,75
preco,75
carbon,75
dados,74
passado,74
momento,74
discussao,74
durante,73
privado,73
primeira,72
garantir,72
economica,72
principal,72
explica,72
existe,72
artigo,72
acesso,71
necessario,71
florestais,71
relatorio,71
territorio,70
interesse,70
carbonext,70
negociacoes,70
melhor,70
oportunidade,69
mata,69
governanca,69
verdes,69
renovavel,69
certificados,69
hidrogenio,68
pratica,68
financeiros,68
tecnologias,68
rio,68
frente,68
controle,67
mecanismo,67
expectativa,67
uniao,67
implementacao,66
papel,66
seguranca,65
crescimento,64
consultoria,64
sentido,64
integridade,64
governos,63
responsavel,63
preve,63
certificacao,63
conforme,63
antes,63
publica,63
novos,63
equivalente,63
recuperacao,62
pe,62
risco,62
lado,62
ministro,62
ativo,62
final,62
limite,62
agropecuaria,61
combate,61
unidades,61
redd,61
legislacao,61
muitas,61
reflorestamento,61
bioeconomia,61
foco,61
mitigacao,61
pauta,61
crise,60
informacoes,60
ilegal,60
europeia,60
entidades,60
captura,60
companhia,60
dinheiro,59
acao,59
pesquisa,59
vida,59
aprovacao,59
cadeia,59
destaca,58
condicoes,58
organizacoes,58
comissao,58
ajudar,58
compromisso,58
evento,58
capacidade,58
baseadas,58
orgao,58
escala,58
locais,58
receita,58
necessidade,57
pagamento,57
planos,57
principalmente,57
silva,57
quantidade,57
chegar,57
nota,57
juridica,57
caminho,57
estabelecer,57
varios,57
operacoes,57
quer,57
inovacao,57
companhias,57
valores,56
manejo,56
propria,56
proximos,56
fundos,56
renovaveis,56
estar,55
cinco,55
toda,55
paulo,55
reservas,55
total,55
questoes,55
custos,55
economicos,55
resultados,55
